Identity,Name,Origin name,Destination name,Flight price,Flight sale price,Flight description,Final URL,ImageURL
MAA,MAN,Chennai/Madras,Manchester,52172 INR,46955 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=MAA&to=MAN&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_MANCHESTER.png
MAA,RUH,Chennai/Madras,Riyadh,22517 INR,20147 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=MAA&to=RUH&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_RIYADH.png
MAN,DEL,Manchester,New Delhi,48720 INR,43848 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=MAN&to=DEL&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_NEWDELHI.png
MLE,COK,Male,Kochi,11584 INR,10079 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=MLE&to=COK&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_KOCHI.png
NBO,AMD,Nairobi,Ahmedabad,35442 INR,31898 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=NBO&to=AMD&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_AHMEDABAD.png
NRT,DEL,Tokyo,New Delhi,34321 INR,30889 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=NRT&to=DEL&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_NEWDELHI.png
SAW,ASR,Istanbul,Kayseri,8265 INR,7439 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=SAW&to=ASR&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_KAYSERI.jpg
SIN,KUL,Singapore,Kuala Lumpur,4283 INR,4283 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=SIN&to=KUL&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_KUALA.png
SIN,TRZ,Singapore,Tiruchirapally,12461 INR,11200 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=SIN&to=TRZ&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_TIRUCHIRAPALLY.jpg
TRV,DOH,Trivandrum,Doha,35782 INR,32204 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=TRV&to=DOH&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DOHA.png
TRV,SIN,Trivandrum,Singapore,13819 INR,12438 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=TRV&to=SIN&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_SINGAPORE.png
ZRH,DEL,Zurich,New Delhi,30513 INR,27462 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=ZRH&to=DEL&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_NEWDELHI.png
ATQ,LHR,Amritsar,London,72467 INR,65221 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=ATQ&to=LHR&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_LONDON.png
ATQ,SHJ,Amritsar,Sharjah,19502 INR,17552 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=ATQ&to=SHJ&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_SHARJAH.png
